PCA,variance_explained,PC_num
PC1,0.3926753672326013,1
PC2,0.1751520360017512,2
PC3,0.13572918207829623,3
PC4,0.1004686227099197,4
PC5,0.07440136974143127,5
PC6,0.06078996546998762,6
PC7,0.02823173266456315,7
PC8,0.021800153740764425,8
PC9,0.010751570360685027,9
