PCA,variance_explained,PC_num
PC1,0.3306226819811071,1
PC2,0.18950642597613632,2
PC3,0.10899900140243794,3
PC4,0.09894608199993409,4
PC5,0.08741099965034946,5
PC6,0.06978643176650996,6
PC7,0.0497383126786766,7
PC8,0.04029351111652685,8
PC9,0.024696553428321544,9
